date,count,directions,directions_lag1,directions_lag2,directions_lag3,directions_roll7,precip,temp,sun,wind,precip_lag1,is_weekend_or_holiday,weather_severity,dow_mean_count,weekend_x_severity,weekend_x_intent,month
2025-07-18,6019,5835.0,4962.0,4904.0,5059.0,5770.142857142857,0.0,29.358333333333334,0.50625,7.2375,2.5,0,0,7220.118644067797,0,0.0,7
2025-07-19,17639,9586.0,5835.0,4962.0,4904.0,6130.428571428572,0.0,30.462500000000002,0.775,5.670833333333333,0.0,1,0,11853.169491525423,0,9586.0,7
2025-07-20,22990,11000.0,9586.0,5835.0,4962.0,6659.285714285715,0.0,29.541666666666668,0.78125,3.4583333333333335,0.0,1,0,12127.36507936508,0,11000.0,7
2025-07-21,17620,8888.0,11000.0,9586.0,5835.0,7176.285714285715,0.0,29.254166666666666,0.59375,3.0708333333333333,0.0,1,0,8486.285714285714,0,8888.0,7
2025-07-22,8775,5993.0,8888.0,11000.0,9586.0,7309.714285714285,0.0,29.349999999999998,0.79375,2.1791666666666667,0.0,0,0,6847.360655737705,0,0.0,7
2025-07-23,7633,5354.0,5993.0,8888.0,11000.0,7374.0,0.0,29.020833333333332,0.81875,1.9333333333333333,0.0,0,0,6192.406779661017,0,0.0,7
2025-07-24,7362,5766.0,5354.0,5993.0,8888.0,7488.857142857143,0.0,29.183333333333334,0.81875,2.3541666666666665,0.0,0,0,6770.714285714285,0,0.0,7
2025-07-25,8786,6260.0,5766.0,5354.0,5993.0,7549.571428571428,0.0,29.979166666666668,0.8125,3.329166666666667,0.0,0,0,7220.118644067797,0,0.0,7
2025-07-26,14310,7757.0,6260.0,5766.0,5354.0,7288.285714285715,0.0,30.629166666666666,0.80625,3.5708333333333333,0.0,1,0,11853.169491525423,0,7757.0,7
2025-07-27,15701,8843.0,7757.0,6260.0,5766.0,6980.142857142857,0.0,30.150000000000002,0.66875,3.1041666666666665,0.0,1,0,12127.36507936508,0,8843.0,7
2025-07-28,10746,6607.0,8843.0,7757.0,6260.0,6654.285714285715,0.0,29.691666666666666,0.80625,2.8333333333333335,0.0,0,0,8486.285714285714,0,0.0,7
